"CountryCode","Rank","LongName.x","GDP","LongName.y"
"219","TUV",190,"Tuvalu",40,"Tuvalu"
"110","KIR",189,"Kiribati",175,"Republic of Kiribati"
"141","MHL",188,"Marshall Islands",182,"Republic of the Marshall Islands"
"173","PLW",187,"Palau",228,"Republic of Palau"
"199","STP",186,"São Tomé and Principe",263,"Democratic Republic of São Tomé and Principe"
"72","FSM",185,"Micronesia, Fed. Sts.",326,"Federated States of Micronesia"
"215","TON",184,"Tonga",472,"Kingdom of Tonga"
"53","DMA",183,"Dominica",480,"Commonwealth of Dominica"
"43","COM",182,"Comoros",596,"Union of the Comoros"
"234","WSM",181,"Samoa",684,"Samoa"
"227","VCT",180,"St. Vincent and the Grenadines",713,"St. Vincent and the Grenadines"
"82","GRD",178,"Grenada",767,"Grenada"
"111","KNA",178,"St. Kitts and Nevis",767,"St. Kitts and Nevis"
"231","VUT",177,"Vanuatu",787,"Republic of Vanuatu"
"79","GNB",176,"Guinea-Bissau",822,"Republic of Guinea-Bissau"
"78","GMB",175,"Gambia, The",917,"Republic of The Gambia"
"190","SLB",174,"Solomon Islands",1008,"Solomon Islands"
"206","SYC",173,"Seychelles",1129,"Republic of Seychelles"
"11","ATG",172,"Antigua and Barbuda",1134,"Antigua and Barbuda"
"120","LCA",171,"St. Lucia",1239,"St. Lucia"
"214","TMP",170,"Timor-Leste",1293,"Democratic Republic of Timor-Leste"
"25","BLZ",169,"Belize",1493,"Belize"
"118","LBR",168,"Liberia",1734,"Republic of Liberia"
"31","BTN",167,"Bhutan",1780,"Kingdom of Bhutan"
"44","CPV",166,"Cape Verde",1827,"Republic of Cape Verde"
"33","CAF",165,"Central African Republic",2184,"Central African Republic"
"138","MDV",164,"Maldives",2222,"Republic of Maldives"
"128","LSO",163,"Lesotho",2448,"Kingdom of Lesotho"
"15","BDI",162,"Burundi",2472,"Republic of Burundi"
"2","ABW",161,"Aruba",2584,"Aruba"
"86","GUY",160,"Guyana",2851,"Republic of Guyana"
"64","ERI",159,"Eritrea",3092,"State of Eritrea"
"204","SWZ",158,"Swaziland",3744,"Kingdom of Swaziland"
"191","SLE",157,"Sierra Leone",3796,"Republic of Sierra Leone"
"210","TGO",156,"Togo",3814,"Republic of Togo"
"69","FJI",155,"Fiji",3908,"Republic of Fiji"
"152","MRT",154,"Mauritania",4199,"Islamic Republic of Mauritania"
"29","BRB",153,"Barbados",4225,"Barbados"
"154","MWI",152,"Malawi",4264,"Republic of Malawi"
"148","MNE",151,"Montenegro",4373,"Montenegro"
"200","SUR",150,"Suriname",5012,"Republic of Suriname"
"26","BMU",149,"Bermuda",5474,"The Bermudas"
"77","GIN",148,"Guinea",5632,"Republic of Guinea"
"135","MCO",147,"Monaco",6075,"Principality of Monaco"
"113","KSV",146,"Kosovo",6445,"Republic of Kosovo"
"108","KGZ",145,"Kyrgyz Republic",6475,"Kyrgyz Republic"
"159","NER",144,"Niger",6773,"Republic of Niger"
"212","TJK",143,"Tajikistan",6972,"Republic of Tajikistan"
"184","RWA",142,"Rwanda",7103,"Republic of Rwanda"
"136","MDA",141,"Moldova",7253,"Republic of Moldova"
"17","BEN",140,"Benin",7557,"Republic of Benin"
"92","HTI",139,"Haiti",7843,"Republic of Haiti"
"22","BHS",138,"Bahamas, The",8149,"Commonwealth of The Bahamas"
"145","MLT",137,"Malta",8722,"Republic of Malta"
"116","LAO",136,"Lao PDR",9418,"Lao People's Democratic Republic"
"143","MKD",135,"Macedonia, FYR",9613,"Former Yugoslav Republic of Macedonia"
"239","ZWE",134,"Zimbabwe",9802,"Republic of Zimbabwe"
"9","ARM",133,"Armenia",9951,"Republic of Armenia"
"137","MDG",132,"Madagascar",9975,"Republic of Madagascar"
"197","SSD",131,"South Sudan",10220,NA
"149","MNG",130,"Mongolia",10271,"Mongolia"
"144","MLI",129,"Mali",10308,"Republic of Mali"
"18","BFA",128,"Burkina Faso",10441,"Burkina Faso"
"153","MUS",127,"Mauritius",10486,"Republic of Mauritius"
"161","NIC",126,"Nicaragua",10507,"Republic of Nicaragua"
"6","ALB",125,"Albania",12648,"Republic of Albania"
"209","TCD",124,"Chad",12887,"Republic of Chad"
"157","NAM",123,"Namibia",13072,"Republic of Namibia"
"100","ISL",122,"Iceland",13579,"Republic of Iceland"
"41","COG",121,"Congo, Rep.",13678,"Republic of Congo"
"109","KHM",120,"Cambodia",14038,"Kingdom of Cambodia"
"188","SEN",119,"Senegal",14046,"Republic of Senegal"
"151","MOZ",118,"Mozambique",14244,"Republic of Mozambique"
"32","BWA",117,"Botswana",14504,"Republic of Botswana"
"103","JAM",116,"Jamaica",14755,"Jamaica"
"174","PNG",115,"Papua New Guinea",15654,"The Independent State of Papua New Guinea"
"75","GEO",114,"Georgia",15747,"Georgia"
"30","BRN",113,"Brunei Darussalam",16954,"Brunei Darussalam"
"237","ZAR",112,"Congo, Dem. Rep.",17204,"Democratic Republic of the Congo"
"23","BIH",111,"Bosnia and Herzegovina",17466,"Bosnia and Herzegovina"
"80","GNQ",110,"Equatorial Guinea",17697,"Republic of Equatorial Guinea"
"73","GAB",109,"Gabon",18377,"Gabonese Republic"
